Designator,Mid X,Mid Y,Rotation,Layer
C1,102.39,-84.48,0.0,top
C2,120.355,-55.25,0.0,top
C3,115.875,-64.75,0.0,top
C4,115.918,-55.295,0.0,top
DS1,187.75,-81.25,90.0,top
IC1,105.25,-53.15,90.0,top
J1,149.44,-60.53,0.0,bottom
R1,114.785,-89.5,0.0,top
R14,114.25,-74.5,0.0,top
R17,134.5,-83.0,0.0,top
R2,134.5,-90.25,0.0,top
R3,114.035,-103.73,0.0,top
R4,134.75,-104.25,0.0,top
R5,114.785,-114.73,0.0,top
R6,135.25,-115.5,0.0,top
S1,101.785,-76.48,270.0,top
S2,101.74,-91.75,270.0,top
S3,101.785,-105.0,270.0,top
S4,102.285,-118.48,270.0,top
U1,154.5,-99.365,90.0,top
U2,122.955,-90.75,0.0,top
U3,105.53,-65.15,0.0,top
U4,123.75,-105.0,0.0,top
U5,124.25,-116.5,0.0,top
U6,122.75,-75.75,0.0,top
